Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Quantity,Price,Discount,Payment_Mode,Shipping_Cost,Profit
ORD100001,2025-01-16,10161,Vikram Shah,East,Kolkata,Home & Kitchen,Home Decor,Table Lamp,2,2278.0,5.0,Card,445.94,1198.51
ORD100002,2025-10-29,10039,Pooja Patel,North,Chandigarh,Sports,Team Sports,Football,1,1497.34,5.0,Card,293.55,-76.13
ORD100003,2025-03-06,10389,Nikhil Joshi,West,Pune,Electronics,Wearables,Smart Watch,1,3549.5,5.0,UPI,154.45,922.11
ORD100004,2025-11-01,10399,Pooja Kumar,North,Delhi,Sports,Fitness,Yoga Mat,1,661.77,20.0,COD,138.77,-18.61
ORD100005,2025-11-29,10062,Ananya Sharma,West,Ahmedabad,Sports,Team Sports,Football,5,1466.36,0.0,Card,381.89,1964.67
ORD100006,2025-08-29,10218,Sneha Verma,West,Pune,Electronics,Laptop,Laptop,4,82179.26,15.0,Card,120.86,68404.96
ORD100007,2025-06-27,10419,Pooja Kumar,East,Kolkata,Electronics,Laptop,Laptop,2,89835.11,20.0,Card,291.63,26379.1
ORD100008,2025-04-15,10267,Rohan Mehta,North,Lucknow,Home & Kitchen,Kitchen Appliances,Air Fryer,1,5274.24,5.0,UPI,387.92,1469.93
ORD100009,2025-05-04,10226,Nikhil Verma,South,Bengaluru,Home & Kitchen,Home Furnishing,Bedsheet,1,1093.53,10.0,Card,64.04,253.61
ORD100010,2025-10-28,10040,Aditi Joshi,West,Mumbai,Sports,Cricket,Cricket Bat,2,4635.97,15.0,UPI,314.77,1520.83
ORD100011,2025-02-28,10353,Vikram Malhotra,South,Chennai,Clothing,Men Clothing,Jacket,3,3979.27,15.0,Card,315.66,1908.2
ORD100012,2025-01-23,10031,Neha Singh,West,Ahmedabad,Sports,Fitness,Dumbbells,1,4279.79,0.0,Net Banking,30.47,976.96
ORD100013,2025-06-04,10046,Aditya Gupta,West,Surat,Electronics,Audio,Bluetooth Speaker,5,5717.24,5.0,Card,256.79,4556.5
ORD100014,2025-11-15,10224,Priya Malhotra,North,Chandigarh,Electronics,Smartphone,Mobile Phone,1,22846.43,15.0,COD,102.98,3384.33
ORD100015,2025-04-30,10022,Isha Malhotra,West,Surat,Home & Kitchen,Kitchen Appliances,Mixer Grinder,1,6421.92,25.0,Net Banking,344.85,1322.49
ORD100016,2025-03-20,10646,Aditya Verma,West,Ahmedabad,Electronics,Smartphone,Mobile Phone,3,24817.74,0.0,UPI,226.79,9785.76
ORD100017,2025-03-16,10157,Meera Shah,North,Delhi,Electronics,Audio,Bluetooth Speaker,1,2310.76,10.0,Card,144.77,131.36
ORD100018,2025-09-19,10084,Vivaan Gupta,North,Lucknow,Home & Kitchen,Home Decor,Table Lamp,3,1496.14,5.0,UPI,334.26,459.2
ORD100019,2025-07-27,10271,Vivaan Patel,North,Delhi,Home & Kitchen,Kitchen,Cookware Set,2,2468.83,0.0,UPI,94.54,1199.32
ORD100020,2025-11-12,10536,Vikram Verma,East,Patna,Home & Kitchen,Kitchen,Cookware Set,5,2578.93,5.0,UPI,281.3,2439.41
ORD100021,2025-04-27,10501,Isha Kumar,South,Bengaluru,Electronics,Smartphone,Mobile Phone,2,29697.66,25.0,UPI,225.13,8821.43
ORD100022,2025-08-05,10301,Priya Malhotra,South,Hyderabad,Home & Kitchen,Home Furnishing,Bedsheet,3,2081.72,0.0,Card,74.07,1906.07
ORD100023,2025-12-19,10242,Rahul Sharma,West,Surat,Electronics,Wearables,Smart Watch,2,3334.73,5.0,UPI,63.0,1690.8
ORD100024,2025-04-16,10143,Aarav Sharma,North,Jaipur,Electronics,Laptop,Laptop,1,49705.55,10.0,COD,43.27,6066.85
ORD100025,2025-11-24,10264,Pooja Joshi,North,Lucknow,Electronics,Wearables,Smart Watch,2,10116.42,5.0,COD,63.65,2768.55
ORD100026,2025-10-24,10127,Simran Gupta,East,Bhubaneswar,Beauty,Fragrance,Perfume,1,2203.54,10.0,Card,303.12,203.36
ORD100027,2025-11-05,10631,Karan Joshi,East,Patna,Sports,Footwear,Running Shoes,2,3892.42,10.0,COD,125.95,721.49
ORD100028,2025-04-03,10035,Meera Shah,West,Ahmedabad,Electronics,Accessories,Wireless Earbuds,1,1973.6,15.0,UPI,433.53,22.54
ORD100029,2025-01-20,10382,Meera Shah,West,Mumbai,Clothing,Men Clothing,Jacket,2,3401.55,10.0,Card,42.35,1654.68
ORD100030,2025-07-05,10371,Meera Verma,East,Patna,Sports,Cricket,Cricket Bat,4,2421.84,10.0,Card,337.91,2676.92
ORD100031,2025-11-30,10526,Priya Sharma,West,Surat,Home & Kitchen,Kitchen Appliances,Air Fryer,2,6184.7,0.0,Card,70.91,3326.9
ORD100032,2025-12-11,10145,Arjun Gupta,East,Patna,Clothing,Men Clothing,Jeans,5,1516.27,10.0,UPI,354.86,2005.79
ORD100033,2025-09-27,10630,Priya Joshi,West,Ahmedabad,Electronics,Laptop,Laptop,1,65194.99,10.0,UPI,218.76,13109.38
ORD100034,2025-05-01,10284,Isha Mehta,West,Mumbai,Electronics,Wearables,Smart Watch,2,5888.95,10.0,COD,326.26,2471.58
ORD100035,2025-05-10,10334,Priya Mehta,West,Pune,Electronics,Audio,Bluetooth Speaker,1,3233.01,0.0,Card,124.37,952.86
ORD100036,2025-10-03,10490,Meera Malhotra,North,Delhi,Clothing,Men Clothing,Jacket,5,4877.92,0.0,Net Banking,298.43,3465.89
ORD100037,2025-12-06,10294,Nikhil Singh,South,Hyderabad,Clothing,Men Clothing,Jacket,1,1964.5,0.0,Net Banking,337.82,325.75
ORD100038,2025-03-27,10495,Sanya Singh,North,Jaipur,Home & Kitchen,Home Decor,Table Lamp,1,1890.94,25.0,UPI,37.36,411.53
ORD100039,2025-10-29,10345,Karan Verma,West,Ahmedabad,Home & Kitchen,Kitchen,Cookware Set,4,4322.56,20.0,COD,310.13,2870.33
ORD100040,2025-06-18,10161,Vikram Shah,South,Chennai,Sports,Fitness,Yoga Mat,5,1478.16,0.0,UPI,75.83,1482.65
ORD100041,2025-10-06,10594,Aditi Sharma,West,Surat,Home & Kitchen,Kitchen Appliances,Air Fryer,2,8815.92,0.0,Card,32.42,5179.69
ORD100042,2025-11-01,10605,Rahul Shah,South,Hyderabad,Home & Kitchen,Home Furnishing,Bedsheet,2,1444.4,0.0,Card,100.75,514.36
ORD100043,2025-10-31,10328,Vikram Patel,West,Mumbai,Clothing,Men Clothing,Jeans,3,2828.47,15.0,UPI,92.58,1660.64
ORD100044,2025-01-21,10364,Karan Malhotra,South,Kochi,Home & Kitchen,Kitchen Appliances,Air Fryer,1,3549.16,10.0,COD,132.26,311.65
ORD100045,2025-02-21,10334,Priya Mehta,North,Delhi,Clothing,Women Clothing,Kurta,2,2373.29,10.0,Card,67.64,758.61
ORD100046,2025-09-20,10350,Neha Gupta,South,Bengaluru,Clothing,Men Clothing,T-Shirt,2,599.58,10.0,COD,74.89,176.03
ORD100047,2025-06-22,10172,Pooja Verma,South,Kochi,Clothing,Men Clothing,T-Shirt,2,1446.54,10.0,COD,401.37,433.66
ORD100048,2025-06-19,10637,Ananya Patel,North,Chandigarh,Electronics,Smartphone,Mobile Phone,4,27542.38,0.0,COD,145.42,18155.97
ORD100049,2025-08-30,10439,Isha Sharma,South,Chennai,Beauty,Fragrance,Perfume,1,1552.75,15.0,Card,254.85,185.45
ORD100050,2025-03-19,10650,Pooja Shah,South,Hyderabad,Home & Kitchen,Home Furnishing,Bedsheet,2,711.06,0.0,UPI,280.76,9.75
